Text;Size;Color;Angle;Font;Repeat;URL
科幻;28;Random;Random;Random;Yes;n
地球;28;Random;Random;Random;Yes;n
中国;26;Random;Random;Random;Yes;ns
电影;24;Random;Random;Random;Yes;n
人物;20;Random;Random;Random;Yes;n
科幻片;19;Random;Random;Random;Yes;n
特效;18;Random;Random;Random;Yes;a
没有;17;Random;Random;Random;Yes;v
台词;14;Random;Random;Random;Yes;n
设定;14;Random;Random;Random;Yes;v
剪辑;13;Random;Random;Random;Yes;n
流浪地球;13;Random;Random;Random;Yes;n
煽情;13;Random;Random;Random;Yes;v
镜头;11;Random;Random;Random;Yes;n
情感;11;Random;Random;Random;Yes;n
人类;11;Random;Random;Random;Yes;n
故事;11;Random;Random;Random;Yes;n
国产;10;Random;Random;Random;Yes;n
元年;10;Random;Random;Random;Yes;t
原著;9;Random;Random;Random;Yes;n
画面;9;Random;Random;Random;Yes;n
情节;9;Random;Random;Random;Yes;n
尴尬;9;Random;Random;Random;Yes;a
完全;8;Random;Random;Random;Yes;ad
灾难;8;Random;Random;Random;Yes;n
大片;8;Random;Random;Random;Yes;n
工业;8;Random;Random;Random;Yes;n
问题;8;Random;Random;Random;Yes;n
影片;7;Random;Random;Random;Yes;n
空间;7;Random;Random;Random;Yes;n
木星;7;Random;Random;Random;Yes;n
基本;7;Random;Random;Random;Yes;n
觉得;7;Random;Random;Random;Yes;v
好莱坞;7;Random;Random;Random;Yes;ns
不会;7;Random;Random;Random;Yes;v
导演;7;Random;Random;Random;Yes;v
计划;7;Random;Random;Random;Yes;n
看到;7;Random;Random;Random;Yes;v
科幻电影;7;Random;Random;Random;Yes;n
可能;7;Random;Random;Random;Yes;v
感觉;6;Random;Random;Random;Yes;n
处理;6;Random;Random;Random;Yes;v
场景;6;Random;Random;Random;Yes;n
救援;6;Random;Random;Random;Yes;vn
拯救;6;Random;Random;Random;Yes;v
宇宙;6;Random;Random;Random;Yes;n
还有;6;Random;Random;Random;Yes;v
毫无;6;Random;Random;Random;Yes;v
剧情;6;Random;Random;Random;Yes;n
演员;6;Random;Random;Random;Yes;n
科学;6;Random;Random;Random;Yes;n
关系;6;Random;Random;Random;Yes;n
时候;6;Random;Random;Random;Yes;n
明显;6;Random;Random;Random;Yes;a
太阳;6;Random;Random;Random;Yes;ns
居住;6;Random;Random;Random;Yes;v
硬核;5;Random;Random;Random;Yes;n
作品;5;Random;Random;Random;Yes;n
标准;5;Random;Random;Random;Yes;n
不能;5;Random;Random;Random;Yes;v
实在;5;Random;Random;Random;Yes;v
全世界;5;Random;Random;Random;Yes;n
有点;5;Random;Random;Random;Yes;n
评价;5;Random;Random;Random;Yes;n
表演;5;Random;Random;Random;Yes;v
值得;5;Random;Random;Random;Yes;v
制作;5;Random;Random;Random;Yes;vn
宏大;5;Random;Random;Random;Yes;a
作为;5;Random;Random;Random;Yes;v
水准;5;Random;Random;Random;Yes;n
太空;5;Random;Random;Random;Yes;n
地方;5;Random;Random;Random;Yes;n
主角;5;Random;Random;Random;Yes;n
逻辑;5;Random;Random;Random;Yes;n
剧本;5;Random;Random;Random;Yes;n
观众;4;Random;Random;Random;Yes;n
全片;4;Random;Random;Random;Yes;n
叙事;4;Random;Random;Random;Yes;v
电梯;4;Random;Random;Random;Yes;n
知道;4;Random;Random;Random;Yes;v
广播;4;Random;Random;Random;Yes;vn
鼓励;4;Random;Random;Random;Yes;v
呈现;4;Random;Random;Random;Yes;v
配音;4;Random;Random;Random;Yes;n
个人;4;Random;Random;Random;Yes;n
混乱;4;Random;Random;Random;Yes;a
牺牲;4;Random;Random;Random;Yes;v
希望;4;Random;Random;Random;Yes;v
角色;4;Random;Random;Random;Yes;n
可惜;4;Random;Random;Random;Yes;v
浪漫;4;Random;Random;Random;Yes;a
不行;4;Random;Random;Random;Yes;v
灾难片;4;Random;Random;Random;Yes;n
东西;4;Random;Random;Random;Yes;ns
显得;4;Random;Random;Random;Yes;v
充满;4;Random;Random;Random;Yes;a
开始;4;Random;Random;Random;Yes;v
只能;4;Random;Random;Random;Yes;v
配乐;4;Random;Random;Random;Yes;vn
世界;4;Random;Random;Random;Yes;n
本来;4;Random;Random;Random;Yes;t
不想;4;Random;Random;Random;Yes;v
现在;4;Random;Random;Random;Yes;t
成为;4;Random;Random;Random;Yes;v
出来;4;Random;Random;Random;Yes;v
节奏;4;Random;Random;Random;Yes;n
朵朵;4;Random;Random;Random;Yes;q
原作;4;Random;Random;Random;Yes;n
堆积;4;Random;Random;Random;Yes;v
探索;3;Random;Random;Random;Yes;v
严重;3;Random;Random;Random;Yes;a
典型;3;Random;Random;Random;Yes;n
轴线;3;Random;Random;Random;Yes;n
发生;3;Random;Random;Random;Yes;v
无法;3;Random;Random;Random;Yes;n
延续;3;Random;Random;Random;Yes;v
刘慈欣;3;Random;Random;Random;Yes;nr
套路;3;Random;Random;Random;Yes;n
回家;3;Random;Random;Random;Yes;n
感动;3;Random;Random;Random;Yes;v
亲人;3;Random;Random;Random;Yes;n
两行;3;Random;Random;Random;Yes;j
儿戏;3;Random;Random;Random;Yes;n
全球;3;Random;Random;Random;Yes;n
作文;3;Random;Random;Random;Yes;n
技术;3;Random;Random;Random;Yes;n
政治;3;Random;Random;Random;Yes;n
不用;3;Random;Random;Random;Yes;v
基础;3;Random;Random;Random;Yes;n
震撼;3;Random;Random;Random;Yes;v
加上;3;Random;Random;Random;Yes;v
失望;3;Random;Random;Random;Yes;v
电影工业;3;Random;Random;Random;Yes;n
时代;3;Random;Random;Random;Yes;n
直接;3;Random;Random;Random;Yes;ad
冗长;3;Random;Random;Random;Yes;n
节制;3;Random;Random;Random;Yes;v
编剧;3;Random;Random;Random;Yes;n
想象力;3;Random;Random;Random;Yes;n
本片;3;Random;Random;Random;Yes;n
风格;3;Random;Random;Random;Yes;n
三星;3;Random;Random;Random;Yes;nz
执行;3;Random;Random;Random;Yes;v
起来;3;Random;Random;Random;Yes;v
应该;3;Random;Random;Random;Yes;v
背景;3;Random;Random;Random;Yes;n
概念;3;Random;Random;Random;Yes;n
科学家;3;Random;Random;Random;Yes;n
春节;3;Random;Random;Random;Yes;t
硬伤;3;Random;Random;Random;Yes;n
方面;3;Random;Random;Random;Yes;n
视觉效果;3;Random;Random;Random;Yes;n
孩子;3;Random;Random;Random;Yes;n
没什么;3;Random;Random;Random;Yes;l
bug;3;Random;Random;Random;Yes;eng
看着;3;Random;Random;Random;Yes;v
片子;3;Random;Random;Random;Yes;n
铺垫;3;Random;Random;Random;Yes;n
力量;3;Random;Random;Random;Yes;n
无视;3;Random;Random;Random;Yes;v
愚公移山;3;Random;Random;Random;Yes;i
出现;3;Random;Random;Random;Yes;v
细节;3;Random;Random;Random;Yes;n
地下城;3;Random;Random;Random;Yes;n
流浪;3;Random;Random;Random;Yes;n
难看;3;Random;Random;Random;Yes;v
道理;3;Random;Random;Random;Yes;n
适宜;3;Random;Random;Random;Yes;a
情绪;3;Random;Random;Random;Yes;n
在于;2;Random;Random;Random;Yes;v
解释;2;Random;Random;Random;Yes;v
属于;2;Random;Random;Random;Yes;v
华语;2;Random;Random;Random;Yes;nz
合格;2;Random;Random;Random;Yes;n
过度;2;Random;Random;Random;Yes;n
动作;2;Random;Random;Random;Yes;n
看清;2;Random;Random;Random;Yes;v
事情;2;Random;Random;Random;Yes;n
错误;2;Random;Random;Random;Yes;n
远景;2;Random;Random;Random;Yes;n
有效;2;Random;Random;Random;Yes;a
对比;2;Random;Random;Random;Yes;v
情况;2;Random;Random;Random;Yes;n
清晰;2;Random;Random;Random;Yes;a
青春片;2;Random;Random;Random;Yes;n
说到底;2;Random;Random;Random;Yes;l
视听;2;Random;Random;Random;Yes;v
手段;2;Random;Random;Random;Yes;n
点燃;2;Random;Random;Random;Yes;v
模式;2;Random;Random;Random;Yes;n
强调;2;Random;Random;Random;Yes;v
上海;2;Random;Random;Random;Yes;ns
开头;2;Random;Random;Random;Yes;v
反复;2;Random;Random;Random;Yes;v
现实;2;Random;Random;Random;Yes;n
毁灭;2;Random;Random;Random;Yes;v
对不上;2;Random;Random;Random;Yes;l
摄影;2;Random;Random;Random;Yes;n
结构;2;Random;Random;Random;Yes;n
变成;2;Random;Random;Random;Yes;v
民族;2;Random;Random;Random;Yes;n
迎合;2;Random;Random;Random;Yes;v
评分;2;Random;Random;Random;Yes;n
刚才;2;Random;Random;Random;Yes;t
地震;2;Random;Random;Random;Yes;n
成功;2;Random;Random;Random;Yes;a
音效;2;Random;Random;Random;Yes;n
价值观;2;Random;Random;Random;Yes;n
团聚;2;Random;Random;Random;Yes;v
行动;2;Random;Random;Random;Yes;vn
末日;2;Random;Random;Random;Yes;t
强行;2;Random;Random;Random;Yes;v
人工智能;2;Random;Random;Random;Yes;n
桥段;2;Random;Random;Random;Yes;n
内容;2;Random;Random;Random;Yes;n
认同;2;Random;Random;Random;Yes;v
