Text;Size;Color;Angle;Font;Repeat;URL
科幻;64;Random;Random;Random;Yes;n
电影;61;Random;Random;Random;Yes;n
中国;45;Random;Random;Random;Yes;ns
地球;36;Random;Random;Random;Yes;n
没有;35;Random;Random;Random;Yes;v
特效;33;Random;Random;Random;Yes;a
故事;31;Random;Random;Random;Yes;n
人类;29;Random;Random;Random;Yes;n
煽情;28;Random;Random;Random;Yes;v
人物;25;Random;Random;Random;Yes;n
好莱坞;21;Random;Random;Random;Yes;ns
台词;20;Random;Random;Random;Yes;n
国产;18;Random;Random;Random;Yes;n
三星;18;Random;Random;Random;Yes;nz
流浪地球;18;Random;Random;Random;Yes;n
问题;17;Random;Random;Random;Yes;n
尴尬;17;Random;Random;Random;Yes;a
太空;17;Random;Random;Random;Yes;n
宇宙;17;Random;Random;Random;Yes;n
觉得;17;Random;Random;Random;Yes;v
片子;16;Random;Random;Random;Yes;n
科幻电影;16;Random;Random;Random;Yes;n
设定;16;Random;Random;Random;Yes;v
鼓励;16;Random;Random;Random;Yes;v
星际穿越;16;Random;Random;Random;Yes;n
情感;16;Random;Random;Random;Yes;n
细节;15;Random;Random;Random;Yes;n
类型;14;Random;Random;Random;Yes;n
叙事;14;Random;Random;Random;Yes;v
科幻片;14;Random;Random;Random;Yes;n
拯救;14;Random;Random;Random;Yes;v
木星;14;Random;Random;Random;Yes;n
个人;14;Random;Random;Random;Yes;n
角色;13;Random;Random;Random;Yes;n
工业;13;Random;Random;Random;Yes;n
宏大;13;Random;Random;Random;Yes;a
感觉;13;Random;Random;Random;Yes;n
希望;13;Random;Random;Random;Yes;v
还有;12;Random;Random;Random;Yes;v
导演;12;Random;Random;Random;Yes;v
值得;12;Random;Random;Random;Yes;v
剧情;12;Random;Random;Random;Yes;n
演员;12;Random;Random;Random;Yes;n
人性;12;Random;Random;Random;Yes;n
表演;11;Random;Random;Random;Yes;v
原著;11;Random;Random;Random;Yes;n
灾难片;11;Random;Random;Random;Yes;n
情节;11;Random;Random;Random;Yes;n
看到;11;Random;Random;Random;Yes;v
空间站;11;Random;Random;Random;Yes;n
水平;11;Random;Random;Random;Yes;n
知道;11;Random;Random;Random;Yes;v
剪辑;10;Random;Random;Random;Yes;n
牺牲;10;Random;Random;Random;Yes;v
大片;10;Random;Random;Random;Yes;n
完全;10;Random;Random;Random;Yes;ad
联合政府;10;Random;Random;Random;Yes;nt
场景;10;Random;Random;Random;Yes;n
技术;9;Random;Random;Random;Yes;n
视角;9;Random;Random;Random;Yes;n
缺乏;9;Random;Random;Random;Yes;v
演技;9;Random;Random;Random;Yes;n
只能;9;Random;Random;Random;Yes;v
观众;9;Random;Random;Random;Yes;n
救援;9;Random;Random;Random;Yes;vn
喜欢;9;Random;Random;Random;Yes;v
水准;9;Random;Random;Random;Yes;n
场面;9;Random;Random;Random;Yes;n
有点;9;Random;Random;Random;Yes;n
结果;9;Random;Random;Random;Yes;n
层面;8;Random;Random;Random;Yes;n
作为;8;Random;Random;Random;Yes;v
出现;8;Random;Random;Random;Yes;v
生硬;8;Random;Random;Random;Yes;a
灾难;8;Random;Random;Random;Yes;n
部分;8;Random;Random;Random;Yes;n
最大;8;Random;Random;Random;Yes;a
基本;8;Random;Random;Random;Yes;n
地心引力;8;Random;Random;Random;Yes;n
制作;8;Random;Random;Random;Yes;vn
特色;8;Random;Random;Random;Yes;n
显得;8;Random;Random;Random;Yes;v
世界;8;Random;Random;Random;Yes;n
内核;8;Random;Random;Random;Yes;n
理解;8;Random;Random;Random;Yes;v
糟糕;7;Random;Random;Random;Yes;a
原因;7;Random;Random;Random;Yes;n
意义;7;Random;Random;Random;Yes;n
毫无;7;Random;Random;Random;Yes;v
开始;7;Random;Random;Random;Yes;v
实在;7;Random;Random;Random;Yes;v
逻辑;7;Random;Random;Random;Yes;n
配乐;7;Random;Random;Random;Yes;vn
情绪;7;Random;Random;Random;Yes;n
节奏;7;Random;Random;Random;Yes;n
时候;7;Random;Random;Random;Yes;n
及格;7;Random;Random;Random;Yes;ad
不错;7;Random;Random;Random;Yes;a
一般;7;Random;Random;Random;Yes;a
确实;7;Random;Random;Random;Yes;ad
塑造;7;Random;Random;Random;Yes;v
主角;7;Random;Random;Random;Yes;n
地方;6;Random;Random;Random;Yes;n
根本;6;Random;Random;Random;Yes;a
美国;6;Random;Random;Random;Yes;ns
家庭;6;Random;Random;Random;Yes;n
影片;6;Random;Random;Random;Yes;n
精神;6;Random;Random;Random;Yes;n
价值观;6;Random;Random;Random;Yes;n
表现;6;Random;Random;Random;Yes;v
视觉;6;Random;Random;Random;Yes;n
未来;6;Random;Random;Random;Yes;t
题材;6;Random;Random;Random;Yes;n
英雄;6;Random;Random;Random;Yes;ns
熟悉;6;Random;Random;Random;Yes;v
计划;6;Random;Random;Random;Yes;n
剧本;6;Random;Random;Random;Yes;n
刘慈欣;6;Random;Random;Random;Yes;nr
元年;6;Random;Random;Random;Yes;t
算是;6;Random;Random;Random;Yes;v
地下城;6;Random;Random;Random;Yes;n
可能;6;Random;Random;Random;Yes;v
科技;6;Random;Random;Random;Yes;n
毁灭;6;Random;Random;Random;Yes;v
春节;6;Random;Random;Random;Yes;t
合格;6;Random;Random;Random;Yes;n
本来;6;Random;Random;Random;Yes;t
不会;6;Random;Random;Random;Yes;v
比如;5;Random;Random;Random;Yes;v
感动;5;Random;Random;Random;Yes;v
小说;5;Random;Random;Random;Yes;n
国家;5;Random;Random;Random;Yes;n
表达;5;Random;Random;Random;Yes;v
看不到;5;Random;Random;Random;Yes;v
标准;5;Random;Random;Random;Yes;n
全球;5;Random;Random;Random;Yes;n
最好;5;Random;Random;Random;Yes;a
起来;5;Random;Random;Random;Yes;v
个体;5;Random;Random;Random;Yes;n
框架;5;Random;Random;Random;Yes;n
整体;5;Random;Random;Random;Yes;n
像是;5;Random;Random;Random;Yes;v
发动机;5;Random;Random;Random;Yes;n
惊喜;5;Random;Random;Random;Yes;a
硬伤;5;Random;Random;Random;Yes;n
文明;5;Random;Random;Random;Yes;nr
文化;5;Random;Random;Random;Yes;n
本片;5;Random;Random;Random;Yes;n
前半段;5;Random;Random;Random;Yes;t
救援队;5;Random;Random;Random;Yes;n
没什么;5;Random;Random;Random;Yes;l
达到;5;Random;Random;Random;Yes;v
英雄主义;5;Random;Random;Random;Yes;nz
期待;5;Random;Random;Random;Yes;v
过程;5;Random;Random;Random;Yes;n
作品;5;Random;Random;Random;Yes;n
独立;5;Random;Random;Random;Yes;v
感情;5;Random;Random;Random;Yes;n
点燃;5;Random;Random;Random;Yes;v
不够;5;Random;Random;Random;Yes;v
社会;5;Random;Random;Random;Yes;n
东西;5;Random;Random;Random;Yes;ns
成功;5;Random;Random;Random;Yes;a
旁白;5;Random;Random;Random;Yes;v
粗糙;5;Random;Random;Random;Yes;a
肯定;5;Random;Random;Random;Yes;v
孩子;5;Random;Random;Random;Yes;n
朵朵;5;Random;Random;Random;Yes;q
女性;5;Random;Random;Random;Yes;n
时代;5;Random;Random;Random;Yes;n
存在;5;Random;Random;Random;Yes;v
无所谓;5;Random;Random;Random;Yes;l
音乐;5;Random;Random;Random;Yes;n
应该;4;Random;Random;Random;Yes;v
对不上;4;Random;Random;Random;Yes;l
口型;4;Random;Random;Random;Yes;n
明显;4;Random;Random;Random;Yes;a
户口;4;Random;Random;Random;Yes;n
2001;4;Random;Random;Random;Yes;eng
后天;4;Random;Random;Random;Yes;t
宏观;4;Random;Random;Random;Yes;n
镜头;4;Random;Random;Random;Yes;n
直接;4;Random;Random;Random;Yes;ad
改编;4;Random;Random;Random;Yes;v
高潮;4;Random;Random;Random;Yes;nr
遗憾;4;Random;Random;Random;Yes;a
五星;4;Random;Random;Random;Yes;nz
莫名其妙;4;Random;Random;Random;Yes;i
人工智能;4;Random;Random;Random;Yes;n
导致;4;Random;Random;Random;Yes;v
太阳;4;Random;Random;Random;Yes;ns
主题;4;Random;Random;Random;Yes;n
概念;4;Random;Random;Random;Yes;n
推进;4;Random;Random;Random;Yes;v
质感;4;Random;Random;Random;Yes;n
超越;4;Random;Random;Random;Yes;v
符合;4;Random;Random;Random;Yes;v
缺点;4;Random;Random;Random;Yes;n
社会主义;4;Random;Random;Random;Yes;n
美学;4;Random;Random;Random;Yes;n
全片;4;Random;Random;Random;Yes;n
关键;4;Random;Random;Random;Yes;n
人类文明;4;Random;Random;Random;Yes;l
苍白;4;Random;Random;Random;Yes;z
里程碑;4;Random;Random;Random;Yes;n
时刻;4;Random;Random;Random;Yes;n
价值;4;Random;Random;Random;Yes;n
情怀;4;Random;Random;Random;Yes;n
离开;4;Random;Random;Random;Yes;v
太阳系;4;Random;Random;Random;Yes;n
流浪;4;Random;Random;Random;Yes;n
后半段;4;Random;Random;Random;Yes;t
出来;4;Random;Random;Random;Yes;v
元素;4;Random;Random;Random;Yes;n
扁平;4;Random;Random;Random;Yes;n
