Text;Size;Color;Angle;Font;Repeat;URL
中国;79;Random;Random;Random;Yes;ns
科幻;57;Random;Random;Random;Yes;n
流浪地球;40;Random;Random;Random;Yes;n
地球;36;Random;Random;Random;Yes;n
电影;33;Random;Random;Random;Yes;n
科幻片;30;Random;Random;Random;Yes;n
特效;29;Random;Random;Random;Yes;a
好莱坞;27;Random;Random;Random;Yes;ns
科幻电影;26;Random;Random;Random;Yes;n
国产;26;Random;Random;Random;Yes;n
没有;26;Random;Random;Random;Yes;v
人类;24;Random;Random;Random;Yes;n
故事;22;Random;Random;Random;Yes;n
希望;19;Random;Random;Random;Yes;v
原著;18;Random;Random;Random;Yes;n
拯救;18;Random;Random;Random;Yes;v
感觉;17;Random;Random;Random;Yes;n
问题;16;Random;Random;Random;Yes;n
宇宙;15;Random;Random;Random;Yes;n
人物;15;Random;Random;Random;Yes;n
情感;15;Random;Random;Random;Yes;n
煽情;15;Random;Random;Random;Yes;v
有点;15;Random;Random;Random;Yes;n
整体;14;Random;Random;Random;Yes;n
看到;14;Random;Random;Random;Yes;v
大片;14;Random;Random;Random;Yes;n
小说;13;Random;Random;Random;Yes;n
设定;12;Random;Random;Random;Yes;v
地方;12;Random;Random;Random;Yes;n
影片;12;Random;Random;Random;Yes;n
剧情;12;Random;Random;Random;Yes;n
台词;12;Random;Random;Random;Yes;n
世界;12;Random;Random;Random;Yes;n
叙事;11;Random;Random;Random;Yes;v
作为;11;Random;Random;Random;Yes;v
不错;11;Random;Random;Random;Yes;a
场景;11;Random;Random;Random;Yes;n
春节;11;Random;Random;Random;Yes;t
比如;11;Random;Random;Random;Yes;v
觉得;11;Random;Random;Random;Yes;v
导演;10;Random;Random;Random;Yes;v
确实;10;Random;Random;Random;Yes;ad
硬核;10;Random;Random;Random;Yes;n
作品;10;Random;Random;Random;Yes;n
太空;10;Random;Random;Random;Yes;n
观众;10;Random;Random;Random;Yes;n
容易;10;Random;Random;Random;Yes;a
部分;9;Random;Random;Random;Yes;n
可能;9;Random;Random;Random;Yes;v
亲情;9;Random;Random;Random;Yes;n
预期;9;Random;Random;Random;Yes;vn
美国;9;Random;Random;Random;Yes;ns
场面;9;Random;Random;Random;Yes;n
演技;9;Random;Random;Random;Yes;n
解决;9;Random;Random;Random;Yes;v
尴尬;9;Random;Random;Random;Yes;a
上海;8;Random;Random;Random;Yes;ns
元年;8;Random;Random;Random;Yes;t
应该;8;Random;Random;Random;Yes;v
还有;8;Random;Random;Random;Yes;v
地下城;8;Random;Random;Random;Yes;n
刘慈欣;8;Random;Random;Random;Yes;nr
情节;8;Random;Random;Random;Yes;n
灾难片;8;Random;Random;Random;Yes;n
情绪;7;Random;Random;Random;Yes;n
发动机;7;Random;Random;Random;Yes;n
木星;7;Random;Random;Random;Yes;n
回家;7;Random;Random;Random;Yes;n
意义;7;Random;Random;Random;Yes;n
需要;7;Random;Random;Random;Yes;v
值得;7;Random;Random;Random;Yes;v
过于;7;Random;Random;Random;Yes;v
末日;6;Random;Random;Random;Yes;t
北京;6;Random;Random;Random;Yes;ns
角色;6;Random;Random;Random;Yes;n
太阳;6;Random;Random;Random;Yes;ns
元素;6;Random;Random;Random;Yes;n
格局;6;Random;Random;Random;Yes;n
套路;6;Random;Random;Random;Yes;n
后天;6;Random;Random;Random;Yes;t
内核;6;Random;Random;Random;Yes;n
牺牲;6;Random;Random;Random;Yes;v
精神;6;Random;Random;Random;Yes;n
国内;6;Random;Random;Random;Yes;s
类型;6;Random;Random;Random;Yes;n
起来;6;Random;Random;Random;Yes;v
剧本;6;Random;Random;Random;Yes;n
实在;6;Random;Random;Random;Yes;v
灾难;6;Random;Random;Random;Yes;n
开始;6;Random;Random;Random;Yes;v
