Text;Size;Color;Angle;Font;Repeat;URL
电影;37;Random;Random;Random;Yes;n
中国;20;Random;Random;Random;Yes;ns
地球;17;Random;Random;Random;Yes;n
没有;16;Random;Random;Random;Yes;v
特效;14;Random;Random;Random;Yes;a
科幻;13;Random;Random;Random;Yes;n
科幻片;11;Random;Random;Random;Yes;n
人类;11;Random;Random;Random;Yes;n
剧情;9;Random;Random;Random;Yes;n
刘慈欣;9;Random;Random;Random;Yes;nr
鼓励;7;Random;Random;Random;Yes;v
价值观;7;Random;Random;Random;Yes;n
宇宙;6;Random;Random;Random;Yes;n
个人;6;Random;Random;Random;Yes;n
流浪地球;6;Random;Random;Random;Yes;n
观众;6;Random;Random;Random;Yes;n
无法;6;Random;Random;Random;Yes;n
值得;6;Random;Random;Random;Yes;v
故事;5;Random;Random;Random;Yes;n
尴尬;5;Random;Random;Random;Yes;a
人物;5;Random;Random;Random;Yes;n
强行;5;Random;Random;Random;Yes;v
科幻电影;5;Random;Random;Random;Yes;n
演技;5;Random;Random;Random;Yes;n
编剧;5;Random;Random;Random;Yes;n
作品;5;Random;Random;Random;Yes;n
台词;5;Random;Random;Random;Yes;n
拯救;5;Random;Random;Random;Yes;v
华为;5;Random;Random;Random;Yes;nr
感觉;5;Random;Random;Random;Yes;n
只能;4;Random;Random;Random;Yes;v
煽情;4;Random;Random;Random;Yes;v
莫名其妙;4;Random;Random;Random;Yes;i
看过;4;Random;Random;Random;Yes;v
导演;4;Random;Random;Random;Yes;v
剪辑;4;Random;Random;Random;Yes;n
家庭;4;Random;Random;Random;Yes;n
毫无;4;Random;Random;Random;Yes;v
美国;4;Random;Random;Random;Yes;ns
角色;4;Random;Random;Random;Yes;n
空间站;4;Random;Random;Random;Yes;n
设定;4;Random;Random;Random;Yes;v
叙事;4;Random;Random;Random;Yes;v
基本;4;Random;Random;Random;Yes;n
情绪;4;Random;Random;Random;Yes;n
逻辑;4;Random;Random;Random;Yes;n
知道;4;Random;Random;Random;Yes;v
文化;4;Random;Random;Random;Yes;n
技术;4;Random;Random;Random;Yes;n
科学;4;Random;Random;Random;Yes;n
全人类;3;Random;Random;Random;Yes;n
方案;3;Random;Random;Random;Yes;n
实现;3;Random;Random;Random;Yes;v
制作;3;Random;Random;Random;Yes;vn
问题;3;Random;Random;Random;Yes;n
情怀;3;Random;Random;Random;Yes;n
想象;3;Random;Random;Random;Yes;n
出现;3;Random;Random;Random;Yes;v
还有;3;Random;Random;Random;Yes;v
国内;3;Random;Random;Random;Yes;s
不能;3;Random;Random;Random;Yes;v
全都;3;Random;Random;Random;Yes;n
打算;3;Random;Random;Random;Yes;v
计划;3;Random;Random;Random;Yes;n
想着;3;Random;Random;Random;Yes;v
英雄主义;3;Random;Random;Random;Yes;nz
部分;3;Random;Random;Random;Yes;n
所有人;3;Random;Random;Random;Yes;n
太空;3;Random;Random;Random;Yes;n
全世界;3;Random;Random;Random;Yes;n
思考;3;Random;Random;Random;Yes;v
应该;3;Random;Random;Random;Yes;v
视角;3;Random;Random;Random;Yes;n
关系;3;Random;Random;Random;Yes;n
不行;3;Random;Random;Random;Yes;v
确实;3;Random;Random;Random;Yes;ad
眼睛;3;Random;Random;Random;Yes;n
灾难;3;Random;Random;Random;Yes;n
牺牲;3;Random;Random;Random;Yes;v
恶心;3;Random;Random;Random;Yes;n
直接;3;Random;Random;Random;Yes;ad
价值;3;Random;Random;Random;Yes;n
好不好;3;Random;Random;Random;Yes;l
手机;3;Random;Random;Random;Yes;n
可惜;3;Random;Random;Random;Yes;v
不够;3;Random;Random;Random;Yes;v
突然;3;Random;Random;Random;Yes;ad
尊重;3;Random;Random;Random;Yes;a
接受;3;Random;Random;Random;Yes;v
全程;3;Random;Random;Random;Yes;n
木星;3;Random;Random;Random;Yes;n
画面;2;Random;Random;Random;Yes;n
时代;2;Random;Random;Random;Yes;n
发动机;2;Random;Random;Random;Yes;n
侮辱;2;Random;Random;Random;Yes;v
科学家;2;Random;Random;Random;Yes;n
压根;2;Random;Random;Random;Yes;n
失望;2;Random;Random;Random;Yes;v
精彩;2;Random;Random;Random;Yes;n
恢弘;2;Random;Random;Random;Yes;a
根本;2;Random;Random;Random;Yes;a
爆米花;2;Random;Random;Random;Yes;n
飞船;2;Random;Random;Random;Yes;n
原著;2;Random;Random;Random;Yes;n
不到;2;Random;Random;Random;Yes;v
团队;2;Random;Random;Random;Yes;n
后半段;2;Random;Random;Random;Yes;t
节奏;2;Random;Random;Random;Yes;n
地方;2;Random;Random;Random;Yes;n
不让;2;Random;Random;Random;Yes;v
告诉;2;Random;Random;Random;Yes;v
身上;2;Random;Random;Random;Yes;s
生存;2;Random;Random;Random;Yes;v
重要;2;Random;Random;Random;Yes;a
主题;2;Random;Random;Random;Yes;n
敬畏;2;Random;Random;Random;Yes;nr
感动;2;Random;Random;Random;Yes;v
作为;2;Random;Random;Random;Yes;v
超越;2;Random;Random;Random;Yes;v
好莱坞;2;Random;Random;Random;Yes;ns
商业;2;Random;Random;Random;Yes;n
评价;2;Random;Random;Random;Yes;n
简单;2;Random;Random;Random;Yes;a
片中;2;Random;Random;Random;Yes;s
想想;2;Random;Random;Random;Yes;v
好奇;2;Random;Random;Random;Yes;a
存在;2;Random;Random;Random;Yes;v
完全;2;Random;Random;Random;Yes;ad
军人;2;Random;Random;Random;Yes;n
停留;2;Random;Random;Random;Yes;v
阶段;2;Random;Random;Random;Yes;n
创造;2;Random;Random;Random;Yes;v
艺术;2;Random;Random;Random;Yes;n
称之为;2;Random;Random;Random;Yes;v
小说;2;Random;Random;Random;Yes;n
剧作;2;Random;Random;Random;Yes;n
绝望;2;Random;Random;Random;Yes;v
直白;2;Random;Random;Random;Yes;v
智障;2;Random;Random;Random;Yes;n
滥用;2;Random;Random;Random;Yes;v
整部;2;Random;Random;Random;Yes;n
逻辑关系;2;Random;Random;Random;Yes;l
层面;2;Random;Random;Random;Yes;n
作用;2;Random;Random;Random;Yes;v
演员;2;Random;Random;Random;Yes;n
建设;2;Random;Random;Random;Yes;vn
理性;2;Random;Random;Random;Yes;n
东西;2;Random;Random;Random;Yes;ns
影院;2;Random;Random;Random;Yes;n
影片;2;Random;Random;Random;Yes;n
处于;2;Random;Random;Random;Yes;v
镜头;2;Random;Random;Random;Yes;n
一塌糊涂;2;Random;Random;Random;Yes;i
世界观;2;Random;Random;Random;Yes;nz
粗糙;2;Random;Random;Random;Yes;a
行为;2;Random;Random;Random;Yes;v
明明;2;Random;Random;Random;Yes;t
联合政府;2;Random;Random;Random;Yes;nt
犬儒;2;Random;Random;Random;Yes;n
决定;2;Random;Random;Random;Yes;v
觉得;2;Random;Random;Random;Yes;v
两者;2;Random;Random;Random;Yes;n
全球化;2;Random;Random;Random;Yes;n
致敬;2;Random;Random;Random;Yes;v
回家;2;Random;Random;Random;Yes;n
表面;2;Random;Random;Random;Yes;n
开始;2;Random;Random;Random;Yes;v
全球;2;Random;Random;Random;Yes;n
思想;2;Random;Random;Random;Yes;n
内核;2;Random;Random;Random;Yes;n
不知;2;Random;Random;Random;Yes;v
主人公;2;Random;Random;Random;Yes;n
不靠;2;Random;Random;Random;Yes;v
改变;2;Random;Random;Random;Yes;v
想到;2;Random;Random;Random;Yes;v
末世;2;Random;Random;Random;Yes;n
手段;2;Random;Random;Random;Yes;n
片子;2;Random;Random;Random;Yes;n
规矩;2;Random;Random;Random;Yes;n
留住;2;Random;Random;Random;Yes;v
地下;2;Random;Random;Random;Yes;s
文明;2;Random;Random;Random;Yes;nr
活着;2;Random;Random;Random;Yes;v
设置;2;Random;Random;Random;Yes;vn
2019;2;Random;Random;Random;Yes;eng
刻意;2;Random;Random;Random;Yes;v
Moss;2;Random;Random;Random;Yes;eng
不了;2;Random;Random;Random;Yes;v
伦理;2;Random;Random;Random;Yes;ns
命运;2;Random;Random;Random;Yes;n
时候;2;Random;Random;Random;Yes;n
灾难片;2;Random;Random;Random;Yes;n
清楚;2;Random;Random;Random;Yes;a
事儿;2;Random;Random;Random;Yes;n
明白;2;Random;Random;Random;Yes;nr
表演;2;Random;Random;Random;Yes;v
二星;2;Random;Random;Random;Yes;nz
水平;2;Random;Random;Random;Yes;n
国产;2;Random;Random;Random;Yes;n
混乱;2;Random;Random;Random;Yes;a
会员;2;Random;Random;Random;Yes;n
烂片;2;Random;Random;Random;Yes;n
引力;2;Random;Random;Random;Yes;n
中国式;2;Random;Random;Random;Yes;nz
渴望;2;Random;Random;Random;Yes;v
市场;2;Random;Random;Random;Yes;n
塑造;2;Random;Random;Random;Yes;v
成功;2;Random;Random;Random;Yes;a
石头;1;Random;Random;Random;Yes;n
核聚变;1;Random;Random;Random;Yes;n
高科技;1;Random;Random;Random;Yes;nz
搞不清楚;1;Random;Random;Random;Yes;l
工作;1;Random;Random;Random;Yes;vn
条件;1;Random;Random;Random;Yes;n
导致;1;Random;Random;Random;Yes;v
集体;1;Random;Random;Random;Yes;n
熄火;1;Random;Random;Random;Yes;v
工程;1;Random;Random;Random;Yes;n
技术人员;1;Random;Random;Random;Yes;n
智商;1;Random;Random;Random;Yes;n
否定;1;Random;Random;Random;Yes;v
能够;1;Random;Random;Random;Yes;v
说明;1;Random;Random;Random;Yes;v
预演;1;Random;Random;Random;Yes;vn
放屁;1;Random;Random;Random;Yes;v
完美;1;Random;Random;Random;Yes;a
合格;1;Random;Random;Random;Yes;n
可靠性;1;Random;Random;Random;Yes;n
可行性;1;Random;Random;Random;Yes;n
验证;1;Random;Random;Random;Yes;v
此路不通;1;Random;Random;Random;Yes;l
补充;1;Random;Random;Random;Yes;v
缺乏;1;Random;Random;Random;Yes;v
场面;1;Random;Random;Random;Yes;n
审美疲劳;1;Random;Random;Random;Yes;i
最大;1;Random;Random;Random;Yes;a
摇摇头;1;Random;Random;Random;Yes;v
有点;1;Random;Random;Random;Yes;n
想起;1;Random;Random;Random;Yes;v
当年;1;Random;Random;Random;Yes;t
成钢;1;Random;Random;Random;Yes;n
名言;1;Random;Random;Random;Yes;n
